product,product_label,geo_level,region,province,location,year,value_metric_tons,data_status
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2010,173.14,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2011,172.25,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2012,176.2,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2013,179.41,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2014,174.7,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2015,168.61,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2016,164.52,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2017,154.64,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2018,151.19,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2019,141.2,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2020,152.64,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2021,151.0,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2022,143.18,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2023,133.79,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2024,142.88,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2025,132.6,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Mountain Province,2026,122.47,estimated_gap
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2010,37378.91,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2011,38476.03,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2012,39315.99,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2013,40482.32,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2014,40977.71,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2015,39463.9,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2016,40158.12,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2017,43624.8,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2018,42481.87,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2019,42621.35,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2020,44012.42,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2021,44328.92,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2022,47226.9,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2023,48459.85,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2024,49250.54,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2025,51161.84,official_psa
coconut_w_husk,Coconut (w/ husk),region,REGION I (ILOCOS REGION),,REGION I (ILOCOS REGION),2026,50199.85,estimated_gap
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2010,3933.34,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2011,4156.18,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2012,4438.41,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2013,4589.24,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2014,4896.08,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2015,5088.57,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2016,5198.02,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2017,5381.77,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2018,5608.2,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2019,5807.1,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2020,5866.11,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2021,5947.88,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2022,6048.54,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2023,6168.36,official_psa
coconut_w_husk,Coconut (w/ husk),province,REGION I (ILOCOS REGION),Ilocos Norte,Ilocos Norte,2024,6218.71,official_psa
